Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Benign	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized	Localized
label	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SLC9A6	NA	1.156999946	NA	1.174000025	1.148000002	1.164999962	1.164999962	1.152999997	1.182999969	NA	1.070000052	1.187000036	1.337000012	NA	1.312999964	NA	1.30400002	1.131000042	1.103000045	-1.09409193364584	1.20599997	-1.022494903208	NA	1.149999976	1.02699995	1.106999993	-1.02145048886682	-1.10741971575001
HADHSC	NA	-1.41442712299114	NA	-1.24223601404267	-1.5037593510091	-1.15473441508569	NA	-1.29032262060354	-1.33511346147333	-1.04166668945313	1.011999965	-1.26422248877623	1.003999949	1.039999962	-1.53609825602111	NA	-1.3227513542454	NA	-1.05596617897457	NA	NA	-1.29032262060354	NA	1.207000017	1.103000045	1.113000035	1.031000018	-1.35135133308985
SRPK2	1.253999949	NA	-1.22850121340908	-1.12612611217637	1.608999968	1.376000047	-1.56494522936611	-1.12107620804762	-1.05374077865781	1.291000009	-1.17096022574577	1.133000016	-1.10741971575001	-1.29533676239631	1.343000054	1.161999941	-1.22399025002659	-1.34770892393982	-1.18764844477294	-1.52671762484704	-1.07758623824874	-1.06837607979034	1.638000011	-1.01214577357439	1.194000006	1.046000004	1.09800005	-1.09890106750393
MMP9	1.123999953	1.416000009	NA	1.284999967	1.264000058	1.024000049	1.256999969	-1.03626945797203	1.411000013	1.228999972	1.152999997	1.125	1.569000006	1.394999981	1.251000047	1.238000035	1.055999994	1.378999949	1.67900002	1.016000032	1.284999967	1.23300004	-1.02354145552414	1.51699996	-1.05263159224377	1.60800004	1.373999953	1.235000014
THRA	NA	-1.09409189833325	NA	-1.56862740668974	-1.19545727812317	NA	NA	NA	NA	NA	NA	NA	-1.01988783002355	NA	-1.08873162054176	NA	-1.0251153696103	NA	NA	NA	-1.39762404499353	-1.16618073489787	NA	NA	NA	NA	NA	NA
FY	-1.41242937055125	-1.79856117048807	-1.47710490499183	-1.70068027210884	-1.85185177983539	-1.2269938680417	-1.27713922122237	-1.64473689620845	-1.66112957362502	-1.3227513542454	-1.10497241109856	-1.76056332138961	-1.11111114074074	NA	-1.21802682626131	-1.52671762484704	1.082000017	1.110999942	1.004999995	-1.47058822015571	-1.00100098797496	-1.35685212337228	-1.14678901844331	1.078999996	-1.43472017397784	-1.00704937482823	-1.05932202716533	1.031000018
RPS6KA2	1.319000006	NA	NA	-2.35849059385012	1.302999973	1.074000001	1.019999981	-1.04602513742757	1.440999985	1.172000051	1.083999991	1.210999966	1.146999955	1.093000054	1.046000004	NA	-1.19331742243437	-1.0341261548366	-1.05152473847331	1.164000034	1.585000038	-1.94931769699319	NA	1.18599999	-2.79329601136045	1.243000031	-1.03092780422999	1.041000009
PLP1	-1.17785633344016	NA	-1.25786160832246	-1.65289251007445	-1.31926118587311	-1.26262626900316	-1.38121551349165	-1.31061597062022	-1.29870133074718	-1.22100121205616	-1.2594457962426	-1.42450137985893	1.082999945	1.161999941	-1.34228187018603	2.118000031	-1.11856824016936	1.511000037	-1.14810563626274	-1.19760482053856	-1.11234706589079	-1.29701681411612	1.02699995	1.011000037	1.098999977	1.251999974	-1.05485230509712	1.129999995
INSM1	NA	NA	NA	1.580000043	NA	NA	1.072000027	1.79400003	2.049999952	2.352999926	1.026000023	NA	1.231999993	1.00999999	-1.51285927433106	NA	-1.19331742243437	1.473999977	-1.29533676239631	NA	-1.12233448967793	1.026000023	NA	-1.14942528075043	-1.022494903208	1.024000049	-1.02354145552414	-1.07874866785597
